,,,,,,RE 1,RE 2,RE 3,RO 1,RO 2,CSIIR 1 NO,CSIIR 1,CSIIR 2 NO,CSIIR 2,CSIIR 3,CSII 1,CSII 2,CSII 3,CSIIndR,CSIInd 1,CSIInd 2,CSIInd 3,Inst,PAC 1,PAC 2,PAC 3
,46-G,"46,1",46.19-2,4619-2/00,Representantes comerciais e agentes do comércio de mercadorias em geral não especializado,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
,46-G,"46,2",46.21-4,4621-4/00,Comércio atacadista de café em grão,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,46-G,"46,2",46.22-2,4622-2/00,Comércio atacadista de soja,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,46-G,"46,2",46.23-1,4623-1/01,Comércio atacadista de animais vivos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,46-G,"46,2",46.23-1,4623-1/02,"Comércio atacadista de couros, lãs, peles e outros subprodutos não-comestíveis de origem animal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,46-G,"46,2",46.23-1,4623-1/03,Comércio atacadista de algodão,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,46-G,"46,2",46.23-1,4623-1/04,Comércio atacadista de fumo em folha não beneficiado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,46-G,"46,2",46.23-1,4623-1/05,Comércio atacadista de cacau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,46-G,"46,2",46.23-1,4623-1/06,"Comércio atacadista de sementes, flores, plantas e gramas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,46-G,"46,2",46.23-1,4623-1/07,Comércio atacadista de sisal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,46-G,"46,2",46.23-1,4623-1/08,Comércio atacadista de matérias-primas agrícolas com atividade de fracionamento e acondicionamento associada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,46-G,"46,2",46.23-1,4623-1/09,Comércio atacadista de alimentos para animais,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,46-G,"46,2",46.23-1,4623-1/99,Comércio atacadista de matérias-primas agrícolas não especificadas anteriormente (vide matérias-primas citadas nas Notas Explicativas da CNAE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,46-G,"46,3",46.31-1,4631-1/00,Comércio atacadista de leite e laticínios,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0
,46-G,"46,3",46.32-0,4632-0/01,Comércio atacadista de cereais e leguminosas beneficiados,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0
,46-G,"46,3",46.32-0,4632-0/02,"Comércio atacadista de farinhas, amidos e féculas",0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0
,46-G,"46,3",46.32-0,4632-0/03,"Comércio atacadista de cereais e leguminosas beneficiados, farinhas, amidos e féculas, com atividade de fracionamento e acondicionamento associada",0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0
,46-G,"46,3",46.33-8,4633-8/01,"Comércio atacadista de frutas, verduras, raízes, tubérculos, hortaliças e legumes frescos",0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0
,46-G,"46,3",46.33-8,4633-8/02,Comércio atacadista de aves vivas e ovos,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0
,46-G,"46,3",46.33-8,4633-8/03,Comércio atacadista de coelhos e outros pequenos animais vivos para alimentação,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0
,46-G,"46,3",46.34-6,4634-6/01,Comércio atacadista de carnes bovinas e suínas e derivados,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0
,46-G,"46,3",46.34-6,4634-6/02,Comércio atacadista de aves abatidas e derivados,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0
,46-G,"46,3",46.34-6,4634-6/03,Comércio atacadista de pescados e frutos do mar,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0
,46-G,"46,3",46.34-6,4634-6/99,Comércio atacadista de carnes e derivados de outros animais,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0
,46-G,"46,3",46.35-4,4635-4/01,Comércio atacadista de água mineral,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0
,46-G,"46,3",46.35-4,4635-4/02,"Comércio atacadista de cerveja, chope e refrigerante",0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0
,46-G,"46,3",46.35-4,4635-4/03,Comércio atacadista de bebidas com atividade de fracionamento e acondicionamento associada,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0
,46-G,"46,3",46.35-4,4635-4/99,"Comércio atacadista de bebidas não especificadas anteriormente (vinhos, cachaças, bebidas destiladas, etc e não alcoólicas, vide outros citados nas Notas Explicativas da CNAE)",0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0
,46-G,"46,3",46.36-2,4636-2/01,Comércio atacadista de fumo beneficiado,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0
,46-G,"46,3",46.36-2,4636-2/02,"Comércio atacadista de cigarros, cigarrilhas e charutos",0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0
,46-G,"46,3",46.37-1,4637-1/01,"Comércio atacadista de café torrado, moído e solúvel",0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0
,46-G,"46,3",46.37-1,4637-1/02,Comércio atacadista de açúcar,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0
,46-G,"46,3",46.37-1,4637-1/03,Comércio atacadista de óleos e gorduras,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0
,46-G,"46,3",46.37-1,4637-1/04,"Comércio atacadista de pães, bolos, biscoitos e similares",0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0
,46-G,"46,3",46.37-1,4637-1/05,Comércio atacadista de massas alimentícias,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0
,46-G,"46,3",46.37-1,4637-1/06,Comércio atacadista de sorvetes,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0
,46-G,"46,3",46.37-1,4637-1/07,"Comércio atacadista de chocolates, confeitos, balas, bombons e semelhantes",0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0
,46-G,"46,3",46.37-1,4637-1/99,Comércio atacadista especializado em outros produtos alimentícios não especificados anteriormente (vide outros produtos citados nas Notas Explicativas da CNAE),0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0
,46-G,"46,3",46.39-7,4639-7/01,Comércio atacadista de produtos alimentícios em geral,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0
,46-G,"46,3",46.39-7,4639-7/02,"Comércio atacadista de produtos alimentícios em geral, com atividade de fracionamento e acondicionamento associada",0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0
,46-G,"46,4",46.41-9,4641-9/01,Comércio atacadista de tecidos,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0
,46-G,"46,4",46.41-9,4641-9/02,"Comércio atacadista de artigos de cama, mesa e banho",0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0
,46-G,"46,4",46.41-9,4641-9/03,Comércio atacadista de artigos de armarinho,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0
,46-G,"46,4",46.42-7,4642-7/01,"Comércio atacadista de artigos do vestuário e acessórios, exceto profissionais e de segurança",0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0
,46-G,"46,4",46.42-7,4642-7/02,Comércio atacadista de roupas e acessórios para uso profissional e de segurança do trabalho,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0
,46-G,"46,4",46.43-5,4643-5/01,Comércio atacadista de calçados,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0
,46-G,"46,4",46.43-5,4643-5/02,"Comércio atacadista de bolsas, malas e artigos de viagem",0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0
,46-G,"46,4",46.44-3,4644-3/01,Comércio atacadista de medicamentos e drogas de uso humano,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0
,46-G,"46,4",46.44-3,4644-3/02,Comércio atacadista de medicamentos e drogas de uso veterinário,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0
,46-G,"46,4",46.45-1,4645-1/01,"Comércio atacadista de instrumentos e materiais para uso médico, cirúrgico, hospitalar e de laboratórios",0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0
,46-G,"46,4",46.45-1,4645-1/02,Comércio atacadista de próteses e artigos de ortopedia,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0
,46-G,"46,4",46.45-1,4645-1/03,Comércio atacadista de produtos odontológicos,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0
,46-G,"46,4",46.46-0,4646-0/01,Comércio atacadista de cosméticos e produtos de perfumaria,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0
,46-G,"46,4",46.46-0,4646-0/02,Comércio atacadista de produtos de higiene pessoal,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0
,46-G,"46,4",46.47-8,4647-8/01,Comércio atacadista de artigos de escritório e de papelaria,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0
,46-G,"46,4",46.47-8,4647-8/02,"Comércio atacadista de livros, jornais e outras publicações",0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0
,46-G,"46,4",46.49-4,4649-4/01,Comércio atacadista de equipamentos elétricos de uso pessoal e doméstico,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0
,46-G,"46,4",46.49-4,4649-4/02,Comércio atacadista de aparelhos eletrônicos de uso pessoal e doméstico,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0
,46-G,"46,4",46.49-4,4649-4/03,"Comércio atacadista de bicicletas, triciclos e outros veículos recreativos",0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0
,46-G,"46,4",46.49-4,4649-4/04,Comércio atacadista de móveis e artigos de colchoaria,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0
,46-G,"46,4",46.49-4,4649-4/05,"Comércio atacadista de artigos de tapeçaria, persianas e cortinas",0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0
,46-G,"46,4",46.49-4,4649-4/06,"Comércio atacadista de lustres, luminárias e abajures",0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0
,46-G,"46,4",46.49-4,4649-4/07,"Comércio atacadista de filmes, CDs, DVDs, fitas e discos",0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0
,46-G,"46,4",46.49-4,4649-4/08,"Comércio atacadista de produtos de higiene, limpeza e conservação domiciliar (sem atividade de fracionamento e condicionamento associada)",0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0
,46-G,"46,4",46.49-4,4649-4/09,"Comércio atacadista de produtos de higiene, limpeza e conservação domiciliar, com atividade de fracionamento e acondicionamento associada",0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0
,46-G,"46,4",46.49-4,4649-4/10,"Comércio atacadista de jóias, relógios e bijuterias, inclusive pedras preciosas e semipreciosas lapidadas",0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0
,46-G,"46,4",46.49-4,4649-4/99,Comércio atacadista de outros equipamentos e artigos de uso pessoal e doméstico não especificados anteriormente (vide outros equipamentos e artigos citados nas Notas Explicativas da CNAE),0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0
,46-G,"46,5",46.51-6,4651-6/01,Comércio atacadista de equipamentos de informática,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0
,46-G,"46,5",46.51-6,4651-6/02,Comércio atacadista de suprimentos para informática,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0
,46-G,"46,5",46.52-4,4652-4/00,Comércio atacadista de componentes eletrônicos e equipamentos de telefonia e comunicação,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0
,46-G,"46,6",46.61-3,4661-3/00,"Comércio atacadista de máquinas, aparelhos e equipamentos para uso agropecuário; partes e peças",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,46-G,"46,6",46.62-1,4662-1/00,"Comércio atacadista de máquinas, equipamentos para terraplenagem, mineração e construção; partes e peças",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,46-G,"46,6",46.63-0,4663-0/00,Comércio atacadista de máquinas e equipamentos para uso industrial; partes e peças,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,46-G,"46,6",46.64-8,4664-8/00,"Comércio atacadista de máquinas, aparelhos e equipamentos para uso odonto-médico-hospitalar; partes e peças",0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0
,46-G,"46,6",46.65-6,4665-6/00,Comércio atacadista de máquinas e equipamentos para uso comercial; partes e peças,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0
,46-G,"46,6",46.69-9,4669-9/01,Comércio atacadista de bombas e compressores; partes e peças,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0
,46-G,"46,6",46.69-9,4669-9/99,Comércio atacadista de outras máquinas e equipamentos não especificados anteriormente; partes e peças (vide outras máquinas e equipamentos citados nas Notas Explicativas da CNAE),0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0
,46-G,"46,7",46.71-1,4671-1/00,Comércio atacadista de madeira e produtos derivados,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
,46-G,"46,7",46.72-9,4672-9/00,Comércio atacadista de ferragens e ferramentas,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0
,46-G,"46,7",46.73-7,4673-7/00,Comércio atacadista de material elétrico,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0
,46-G,"46,7",46.74-5,4674-5/00,Comércio atacadista de cimento,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
,46-G,"46,7",46.79-6,4679-6/01,"Comércio atacadista de tintas, vernizes e similares",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
,46-G,"46,7",46.79-6,4679-6/02,Comércio atacadista de mármores e granitos,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
,46-G,"46,7",46.79-6,4679-6/03,"Comércio atacadista de vidros, espelhos e vitrais",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
,46-G,"46,7",46.79-6,4679-6/04,Comércio atacadista especializado de materiais de construção não especificados anteriormente (vide materiais citados nas Notas Explicativas da CNAE),0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
,46-G,"46,7",46.79-6,4679-6/99,Comércio atacadista de materiais de construção em geral,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
,46-G,"46,8",46.81-8,4681-8/01,"Comércio atacadista de álcool carburante, biodiesel, gasolina e demais derivados de petróleo, exceto lubrificantes, não realizado por transportador retalhista (TRR)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,46-G,"46,8",46.81-8,4681-8/02,Comércio atacadista de combustíveis realizado por transportador retalhista (TRR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,46-G,"46,8",46.81-8,4681-8/03,"Comércio atacadista de combustíveis de origem vegetal, exceto álcool carburante",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,46-G,"46,8",46.81-8,4681-8/04,Comércio atacadista de combustíveis de origem mineral em bruto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,46-G,"46,8",46.81-8,4681-8/05,Comércio atacadista de lubrificantes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,46-G,"46,8",46.82-6,4682-6/00,Comércio atacadista de gás liqüefeito de petróleo (GLP),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,46-G,"46,8",46.83-4,4683-4/00,"Comércio atacadista de defensivos agrícolas, adubos, fertilizantes e corretivos do solo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,46-G,"46,8",46.84-2,4684-2/01,Comércio atacadista de resinas e elastômeros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,46-G,"46,8",46.84-2,4684-2/02,Comércio atacadista de solventes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,46-G,"46,8",46.84-2,4684-2/99,Comércio atacadista de outros produtos químicos e petroquímicos não especificados anteriormente (vide outros produtos citados nas Notas Explicativas da CNAE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,46-G,"46,8",46.85-1,4685-1/00,"Comércio atacadista de produtos siderúrgicos e metalúrgicos, exceto para construção",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,46-G,"46,8",46.86-9,4686-9/01,Comércio atacadista de papel e papelão em bruto,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
,46-G,"46,8",46.86-9,4686-9/02,Comércio atacadista de embalagens,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0
,46-G,"46,8",46.87-7,4687-7/01,Comércio atacadista de resíduos de papel e papelão,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
,46-G,"46,8",46.87-7,4687-7/02,"Comércio atacadista de resíduos e sucatas não-metálicos, exceto de papel e papelão",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
,46-G,"46,8",46.87-7,4687-7/03,Comércio atacadista de resíduos e sucatas metálicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,46-G,"46,8",46.89-3,4689-3/01,"Comércio atacadista de produtos da extração mineral, exceto combustíveis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,46-G,"46,8",46.89-3,4689-3/02,Comércio atacadista de fios e fibras beneficiados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,46-G,"46,8",46.89-3,4689-3/99,Comércio atacadista especializado em outros produtos intermediários não especificados anteriormente (vide outros produtos citados nas Notas Explicativas da CNAE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,46-G,"46,9",46.91-5,4691-5/00,"Comércio atacadista de mercadorias em geral, com predominância de produtos alimentícios",0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0
,46-G,"46,9",46.92-3,4692-3/00,"Comércio atacadista de mercadorias em geral, com predominância de insumos agropecuários",0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0
,46-G,"46,9",46.93-1,4693-1/00,"Comércio atacadista de mercadorias em geral, sem predominância de alimentos ou de insumos agropecuários",0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0
,47-G,"47,1",47.11-3,4711-3/01,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados",0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0
,47-G,"47,1",47.11-3,4711-3/02,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados",0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
,47-G,"47,1",47.12-1,4712-1/00,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1
,47-G,"47,1",47.13-0,4713-0/01,Lojas de departamentos ou magazines,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,1
